Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4034.08, Los Angeles County, California",403408,Walnut,1400000US06037403408,"(34.024588, -117.881909)",Median_Rent_Price_2014_1400000US06037403408,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4035, Los Angeles County, California",403500,Ramona,1400000US06037403500,"(34.0618395, -117.8491905)",Median_Rent_Price_2014_1400000US06037403500,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4064.02, Los Angeles County, California",406402,West Covina,1400000US06037406402,"(34.0574215, -117.8990455)",Median_Rent_Price_2014_1400000US06037406402,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4086.24, Los Angeles County, California",408624,Hacienda Heights,1400000US06037408624,"(33.9940835, -117.949281)",Median_Rent_Price_2014_1400000US06037408624,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4087.03, Los Angeles County, California",408703,Rowland Heights,1400000US06037408703,"(33.960901, -117.8902285)",Median_Rent_Price_2014_1400000US06037408703,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4306, Los Angeles County, California",430600,Sierra Madre,1400000US06037430600,"(34.1573315, -118.0497665)",Median_Rent_Price_2014_1400000US06037430600,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4605.01, Los Angeles County, California",460501,La Canada Flintridge,1400000US06037460501,"(34.2156925, -118.1897915)",Median_Rent_Price_2014_1400000US06037460501,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4607, Los Angeles County, California",460700,La Canada Flintridge,1400000US06037460700,"(34.1946605, -118.196153)",Median_Rent_Price_2014_1400000US06037460700,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4608, Los Angeles County, California",460800,Pasadena,1400000US06037460800,"(34.163146, -118.1778035)",Median_Rent_Price_2014_1400000US06037460800,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4638, Los Angeles County, California",463800,Pasadena,1400000US06037463800,"(34.13445, -118.1753385)",Median_Rent_Price_2014_1400000US06037463800,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4641, Los Angeles County, California",464100,San Marino,1400000US06037464100,"(34.1211415, -118.123201)",Median_Rent_Price_2014_1400000US06037464100,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 4800.02, Los Angeles County, California",480002,East San Gabriel,1400000US06037480002,"(34.121451, -118.086002)",Median_Rent_Price_2014_1400000US06037480002,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5036.02, Los Angeles County, California",503602,La Mirada,1400000US06037503602,"(33.9135745, -118.0030245)",Median_Rent_Price_2014_1400000US06037503602,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 5041.02, Los Angeles County, California",504102,Norwalk,1400000US06037504102,"(33.8999125, -118.0464285)",Median_Rent_Price_2014_1400000US06037504102,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5433.04, Los Angeles County, California",543304,Carson,1400000US06037543304,"(33.8523695, -118.241227)",Median_Rent_Price_2014_1400000US06037543304,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 5516, Los Angeles County, California",551600,Downey,1400000US06037551600,"(33.925708, -118.162308)",Median_Rent_Price_2014_1400000US06037551600,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5545.13, Los Angeles County, California",554513,Cerritos,1400000US06037554513,"(33.8839755, -118.068399)",Median_Rent_Price_2014_1400000US06037554513,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5545.16, Los Angeles County, California",554516,Cerritos,1400000US06037554516,"(33.85597, -118.067815)",Median_Rent_Price_2014_1400000US06037554516,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5545.18, Los Angeles County, California",554518,Cerritos,1400000US06037554518,"(33.8660225, -118.037583)",Median_Rent_Price_2014_1400000US06037554518,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5545.19, Los Angeles County, California",554519,Cerritos,1400000US06037554519,"(33.8524445, -118.0548455)",Median_Rent_Price_2014_1400000US06037554519,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 5737, Los Angeles County, California",573700,Long Beach,1400000US06037573700,"(33.825622, -118.107714)",Median_Rent_Price_2014_1400000US06037573700,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 5746.01, Los Angeles County, California",574601,Long Beach,1400000US06037574601,"(33.781883, -118.1157115)",Median_Rent_Price_2014_1400000US06037574601,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 5747, Los Angeles County, California",574700,Long Beach,1400000US06037574700,"(33.778316, -118.118802)",Median_Rent_Price_2014_1400000US06037574700,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 5755, Los Angeles County, California",575500,Long Beach,1400000US06037575500,"(33.7864955, -118.216506)",Median_Rent_Price_2014_1400000US06037575500,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6203.01, Los Angeles County, California",620301,Manhattan Beach,1400000US06037620301,"(33.897189, -118.4043155)",Median_Rent_Price_2014_1400000US06037620301,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6203.03, Los Angeles County, California",620303,Manhattan Beach,1400000US06037620303,"(33.8930745, -118.4029825)",Median_Rent_Price_2014_1400000US06037620303,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6505.01, Los Angeles County, California",650501,Torrance,1400000US06037650501,"(33.853453, -118.3594535)",Median_Rent_Price_2014_1400000US06037650501,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6507.02, Los Angeles County, California",650702,Torrance,1400000US06037650702,"(33.832556, -118.367489)",Median_Rent_Price_2014_1400000US06037650702,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6508, Los Angeles County, California",650800,Torrance,1400000US06037650800,"(33.8266215, -118.3366605)",Median_Rent_Price_2014_1400000US06037650800,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6512.01, Los Angeles County, California",651201,Torrance,1400000US06037651201,"(33.8205315, -118.367129)",Median_Rent_Price_2014_1400000US06037651201,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6703.24, Los Angeles County, California",670324,Palos Verdes Estates,1400000US06037670324,"(33.79768677, -118.379741)",Median_Rent_Price_2014_1400000US06037670324,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6703.26, Los Angeles County, California",670326,Palos Verdes Estates,1400000US06037670326,"(33.785452, -118.4028895)",Median_Rent_Price_2014_1400000US06037670326,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6703.28, Los Angeles County, California",670328,Palos Verdes Estates,1400000US06037670328,"(33.77355, -118.416007)",Median_Rent_Price_2014_1400000US06037670328,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6704.03, Los Angeles County, California",670403,Rancho Palos Verdes,1400000US06037670403,"(33.7766755, -118.3693285)",Median_Rent_Price_2014_1400000US06037670403,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6704.06, Los Angeles County, California",670406,Rolling Hills Estates,1400000US06037670406,"(33.763222, -118.3859975)",Median_Rent_Price_2014_1400000US06037670406,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6704.07, Los Angeles County, California",670407,Rancho Palos Verdes,1400000US06037670407,"(33.7723545, -118.3857375)",Median_Rent_Price_2014_1400000US06037670407,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6704.11, Los Angeles County, California",670411,Rancho Palos Verdes,1400000US06037670411,"(33.7858915, -118.3789685)",Median_Rent_Price_2014_1400000US06037670411,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6704.13, Los Angeles County, California",670413,Rancho Palos Verdes,1400000US06037670413,"(33.771989, -118.397256)",Median_Rent_Price_2014_1400000US06037670413,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 6706.02, Los Angeles County, California",670602,Rancho Palos Verdes,1400000US06037670602,"(33.74274308, -118.3714756)",Median_Rent_Price_2014_1400000US06037670602,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 7006, Los Angeles County, California",700600,Beverly Hills,1400000US06037700600,"(34.0920565, -118.40138)",Median_Rent_Price_2014_1400000US06037700600,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 7010, Los Angeles County, California",701000,Beverly Hills,1400000US06037701000,"(34.05987, -118.406709)",Median_Rent_Price_2014_1400000US06037701000,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8002.02, Los Angeles County, California",800202,Unincorporated Santa Monica Mountains,1400000US06037800202,"(34.111882, -118.6724855)",Median_Rent_Price_2014_1400000US06037800202,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8002.04, Los Angeles County, California",800204,Calabasas,1400000US06037800204,"(34.146393, -118.663627)",Median_Rent_Price_2014_1400000US06037800204,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8003.24, Los Angeles County, California",800324,Agoura Hills,1400000US06037800324,"(34.150914, -118.780558)",Median_Rent_Price_2014_1400000US06037800324,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8003.30, Los Angeles County, California",800330,Unincorporated Santa Monica Mountains,1400000US06037800330,"(34.0909385, -118.7600245)",Median_Rent_Price_2014_1400000US06037800330,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8003.31, Los Angeles County, California",800331,Westlake Village,1400000US06037800331,"(34.158577, -118.8018845)",Median_Rent_Price_2014_1400000US06037800331,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8004.06, Los Angeles County, California",800406,Unincorporated Santa Monica Mountains,1400000US06037800406,"(34.065344, -118.8552812)",Median_Rent_Price_2014_1400000US06037800406,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8004.08, Los Angeles County, California",800408,Malibu,1400000US06037800408,"(34.02294, -118.7999009)",Median_Rent_Price_2014_1400000US06037800408,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8005.04, Los Angeles County, California",800504,Unincorporated Santa Monica Mountains,1400000US06037800504,"(34.0557665, -118.6751869)",Median_Rent_Price_2014_1400000US06037800504,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 8005.06, Los Angeles County, California",800506,Topanga,1400000US06037800506,"(34.05990591, -118.6102825)",Median_Rent_Price_2014_1400000US06037800506,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Median_Rent_Price_2014_1400000US06037901003,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9012.13, Los Angeles County, California",901213,Leona Valley,1400000US06037901213,"(34.6249465, -118.305774)",Median_Rent_Price_2014_1400000US06037901213,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9108.09, Los Angeles County, California",910809,Santa Clarita,1400000US06037910809,"(34.407322, -118.399898)",Median_Rent_Price_2014_1400000US06037910809,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9108.12, Los Angeles County, California",910812,Southeast Antelope Valley,1400000US06037910812,"(34.500557, -118.0739195)",Median_Rent_Price_2014_1400000US06037910812,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9200.11, Los Angeles County, California",920011,Castaic Canyons,1400000US06037920011,"(34.537969, -118.41508)",Median_Rent_Price_2014_1400000US06037920011,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.15, Los Angeles County, California",920015,Santa Clarita,1400000US06037920015,"(34.4718625, -118.527824)",Median_Rent_Price_2014_1400000US06037920015,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.16, Los Angeles County, California",920016,Castaic Canyons,1400000US06037920016,"(34.463734, -118.520167)",Median_Rent_Price_2014_1400000US06037920016,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.18, Los Angeles County, California",920018,Santa Clarita,1400000US06037920018,"(34.4558485, -118.52964)",Median_Rent_Price_2014_1400000US06037920018,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9200.26, Los Angeles County, California",920026,Castaic Canyons,1400000US06037920026,"(34.475127, -118.42794)",Median_Rent_Price_2014_1400000US06037920026,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.28, Los Angeles County, California",920028,Santa Clarita,1400000US06037920028,"(34.4364445, -118.4883265)",Median_Rent_Price_2014_1400000US06037920028,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.43, Los Angeles County, California",920043,Santa Clarita,1400000US06037920043,"(34.39599, -118.4534165)",Median_Rent_Price_2014_1400000US06037920043,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9200.45, Los Angeles County, California",920045,Santa Clarita,1400000US06037920045,"(34.453296, -118.516716)",Median_Rent_Price_2014_1400000US06037920045,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9201.16, Los Angeles County, California",920116,Castaic,1400000US06037920116,"(34.4830095, -118.6364085)",Median_Rent_Price_2014_1400000US06037920116,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9201.18, Los Angeles County, California",920118,Castaic,1400000US06037920118,"(34.4585725, -118.624566)",Median_Rent_Price_2014_1400000US06037920118,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9202, Los Angeles County, California",920200,Castaic Canyons,1400000US06037920200,"(34.4679205, -118.594791)",Median_Rent_Price_2014_1400000US06037920200,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9203.38, Los Angeles County, California",920338,Stevenson Ranch,1400000US06037920338,"(34.386701, -118.601166)",Median_Rent_Price_2014_1400000US06037920338,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9301.01, Los Angeles County, California",930101,Angeles Crest,1400000US06037930101,"(34.2419535, -118.119012)",Median_Rent_Price_2014_1400000US06037930101,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,2000,"Census Tract 9302, Los Angeles County, California",930200,Tujunga Canyons,1400000US06037930200,"(34.340966, -118.294994)",Median_Rent_Price_2014_1400000US06037930200,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.01, Los Angeles County, California",980001,Burbank,1400000US06037980001,"(34.199424, -118.3594925)",Median_Rent_Price_2014_1400000US06037980001,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.02, Los Angeles County, California",980002,Carson,1400000US06037980002,"(33.809244, -118.241188)",Median_Rent_Price_2014_1400000US06037980002,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.03, Los Angeles County, California",980003,Northeast Antelope Valley,1400000US06037980003,"(34.7929935, -117.957417)",Median_Rent_Price_2014_1400000US06037980003,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.04, Los Angeles County, California",980004,Palmdale,1400000US06037980004,"(34.6312145, -118.084388)",Median_Rent_Price_2014_1400000US06037980004,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.05, Los Angeles County, California",980005,Torrance,1400000US06037980005,"(33.852811, -118.3306995)",Median_Rent_Price_2014_1400000US06037980005,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.06, Los Angeles County, California",980006,Long Beach,1400000US06037980006,"(33.808542, -118.087881)",Median_Rent_Price_2014_1400000US06037980006,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.07, Los Angeles County, California",980007,Long Beach,1400000US06037980007,"(33.7633785, -118.1035825)",Median_Rent_Price_2014_1400000US06037980007,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.13, Los Angeles County, California",980013,El Segundo,1400000US06037980013,"(33.9163945, -118.3853095)",Median_Rent_Price_2014_1400000US06037980013,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.14, Los Angeles County, California",980014,Wilmington,1400000US06037980014,"(33.7950245, -118.240815)",Median_Rent_Price_2014_1400000US06037980014,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.18, Los Angeles County, California",980018,Long Beach,1400000US06037980018,"(33.814878, -118.1572775)",Median_Rent_Price_2014_1400000US06037980018,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.19, Los Angeles County, California",980019,Pacific Palisades,1400000US06037980019,"(34.0891725, -118.5518725)",Median_Rent_Price_2014_1400000US06037980019,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Median_Rent_Price_2014_1400000US06037980020,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.21, Los Angeles County, California",980021,Hansen Dam,1400000US06037980021,"(34.2656655, -118.368858)",Median_Rent_Price_2014_1400000US06037980021,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.22, Los Angeles County, California",980022,Granada Hills,1400000US06037980022,"(34.3001055, -118.485019)",Median_Rent_Price_2014_1400000US06037980022,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.23, Los Angeles County, California",980023,Chatsworth Reservoir,1400000US06037980023,"(34.2324115, -118.6281115)",Median_Rent_Price_2014_1400000US06037980023,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.24, Los Angeles County, California",980024,Sepulveda Basin,1400000US06037980024,"(34.1733255, -118.4930155)",Median_Rent_Price_2014_1400000US06037980024,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.25, Los Angeles County, California",980025,Carson,1400000US06037980025,"(33.841065, -118.2386745)",Median_Rent_Price_2014_1400000US06037980025,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.26, Los Angeles County, California",980026,Tujunga,1400000US06037980026,"(34.2727625, -118.2952615)",Median_Rent_Price_2014_1400000US06037980026,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.28, Los Angeles County, California",980028,Westchester,1400000US06037980028,"(33.93683848, -118.4083005)",Median_Rent_Price_2014_1400000US06037980028,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.30, Los Angeles County, California",980030,El Segundo,1400000US06037980030,"(33.9090245, -118.412818)",Median_Rent_Price_2014_1400000US06037980030,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.31, Los Angeles County, California",980031,San Pedro,1400000US06037980031,"(33.73751, -118.2614255)",Median_Rent_Price_2014_1400000US06037980031,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9800.33, Los Angeles County, California",980033,San Pedro,1400000US06037980033,"(33.751351467400355, -118.21615399999982)",Median_Rent_Price_2014_1400000US06037980033,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2014,,"Census Tract 9903, Los Angeles County, California",990300,Long Beach,1400000US06037990300,"(33.723119408974696, -118.20340049725401)",Median_Rent_Price_2014_1400000US06037990300,01/01/2014
Housing & Real Estate,Rent Price,Median Rent Price,2015,1115,"Census Tract 1241.05, Los Angeles County, California",124105,North Hollywood,1400000US06037124105,"(34.181229, -118.383405)",Median_Rent_Price_2015_1400000US06037124105,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 1375.04, Los Angeles County, California",137504,Woodland Hills,1400000US06037137504,"(34.14705, -118.571596)",Median_Rent_Price_2015_1400000US06037137504,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,1812,"Census Tract 2168, Los Angeles County, California",216800,Carthay,1400000US06037216800,"(34.055507, -118.369996)",Median_Rent_Price_2015_1400000US06037216800,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,957,"Census Tract 2181.20, Los Angeles County, California",218120,Arlington Heights,1400000US06037218120,"(34.0436875, -118.320626)",Median_Rent_Price_2015_1400000US06037218120,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 2653.01, Los Angeles County, California",265301,Westwood,1400000US06037265301,"(34.0709425, -118.4463495)",Median_Rent_Price_2015_1400000US06037265301,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,988,"Census Tract 2965, Los Angeles County, California",296500,San Pedro,1400000US06037296500,"(33.7480855, -118.2929285)",Median_Rent_Price_2015_1400000US06037296500,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 3200, Los Angeles County, California",320000,Universal City,1400000US06037320000,"(34.137367, -118.352786)",Median_Rent_Price_2015_1400000US06037320000,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 4032, Los Angeles County, California",403200,Pomona,1400000US06037403200,"(34.038906, -117.813367)",Median_Rent_Price_2015_1400000US06037403200,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,1087,"Census Tract 4045.04, Los Angeles County, California",404504,Citrus,1400000US06037404504,"(34.11051, -117.9033385)",Median_Rent_Price_2015_1400000US06037404504,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 5041.02, Los Angeles County, California",504102,Norwalk,1400000US06037504102,"(33.8999125, -118.0464285)",Median_Rent_Price_2015_1400000US06037504102,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 5516, Los Angeles County, California",551600,Downey,1400000US06037551600,"(33.925708, -118.162308)",Median_Rent_Price_2015_1400000US06037551600,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 5746.01, Los Angeles County, California",574601,Long Beach,1400000US06037574601,"(33.781883, -118.1157115)",Median_Rent_Price_2015_1400000US06037574601,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 5747, Los Angeles County, California",574700,Long Beach,1400000US06037574700,"(33.778316, -118.118802)",Median_Rent_Price_2015_1400000US06037574700,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,1051,"Census Tract 5768.01, Los Angeles County, California",576801,Long Beach,1400000US06037576801,"(33.7714375, -118.164174)",Median_Rent_Price_2015_1400000US06037576801,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9010.03, Los Angeles County, California",901003,Lancaster,1400000US06037901003,"(34.69674, -118.227897)",Median_Rent_Price_2015_1400000US06037901003,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9200.11, Los Angeles County, California",920011,Castaic Canyons,1400000US06037920011,"(34.537969, -118.41508)",Median_Rent_Price_2015_1400000US06037920011,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9200.26, Los Angeles County, California",920026,Castaic Canyons,1400000US06037920026,"(34.475127, -118.42794)",Median_Rent_Price_2015_1400000US06037920026,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9202, Los Angeles County, California",920200,Castaic Canyons,1400000US06037920200,"(34.4679205, -118.594791)",Median_Rent_Price_2015_1400000US06037920200,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9301.01, Los Angeles County, California",930101,Angeles Crest,1400000US06037930101,"(34.2419535, -118.119012)",Median_Rent_Price_2015_1400000US06037930101,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.01, Los Angeles County, California",980001,Burbank,1400000US06037980001,"(34.199424, -118.3594925)",Median_Rent_Price_2015_1400000US06037980001,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.02, Los Angeles County, California",980002,Carson,1400000US06037980002,"(33.809244, -118.241188)",Median_Rent_Price_2015_1400000US06037980002,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.03, Los Angeles County, California",980003,Northeast Antelope Valley,1400000US06037980003,"(34.7929935, -117.957417)",Median_Rent_Price_2015_1400000US06037980003,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.04, Los Angeles County, California",980004,Palmdale,1400000US06037980004,"(34.6312145, -118.084388)",Median_Rent_Price_2015_1400000US06037980004,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.05, Los Angeles County, California",980005,Torrance,1400000US06037980005,"(33.852811, -118.3306995)",Median_Rent_Price_2015_1400000US06037980005,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.06, Los Angeles County, California",980006,Long Beach,1400000US06037980006,"(33.808542, -118.087881)",Median_Rent_Price_2015_1400000US06037980006,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.07, Los Angeles County, California",980007,Long Beach,1400000US06037980007,"(33.7633785, -118.1035825)",Median_Rent_Price_2015_1400000US06037980007,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.13, Los Angeles County, California",980013,El Segundo,1400000US06037980013,"(33.9163945, -118.3853095)",Median_Rent_Price_2015_1400000US06037980013,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.14, Los Angeles County, California",980014,Wilmington,1400000US06037980014,"(33.7950245, -118.240815)",Median_Rent_Price_2015_1400000US06037980014,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.18, Los Angeles County, California",980018,Long Beach,1400000US06037980018,"(33.814878, -118.1572775)",Median_Rent_Price_2015_1400000US06037980018,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.19, Los Angeles County, California",980019,Pacific Palisades,1400000US06037980019,"(34.0891725, -118.5518725)",Median_Rent_Price_2015_1400000US06037980019,01/01/2015
Housing & Real Estate,Rent Price,Median Rent Price,2015,,"Census Tract 9800.20, Los Angeles County, California",980020,Shadow Hills,1400000US06037980020,"(34.2242935, -118.305462)",Median_Rent_Price_2015_1400000US06037980020,01/01/2015
